Config,Scaler,AP_Mean,ROC_Mean,F1_Mean,P@100_Mean
Config_v5,MinMax,0.9497256783641511,0.9666867340850207,0.8007004012877756,1.0
Config_Detail_v3,MinMax,0.9364140926860097,0.9568351559797843,0.784630665564465,1.0
Config_v7,MinMax,0.9301572594362255,0.9527193080465004,0.7346300664838183,1.0
Config_v3,MinMax,0.9283624924004729,0.9520048010944835,0.7321950622872561,1.0
Config_v6,MinMax,0.92276152475209,0.9469754691917984,0.7241144419058159,1.0
Config_Detail_v3,Standard,0.8982530819947158,0.9445145154064185,0.5459040798076262,0.944
Config_v7,Standard,0.890445162167467,0.9505372552328897,0.4142607851142916,0.9099999999999999
Config_v3,Standard,0.890256827198289,0.9503032348772672,0.40657826784082385,0.898
Config_v6,Standard,0.8726243558548555,0.94506769728653,0.37011416964451777,0.8799999999999999
Config_v5,Standard,0.8243055372981664,0.9396997807355613,0.12913493043440002,0.6900000000000001
Baseline_v3,Standard,0.7416769041405468,0.8461285361360462,0.1757331785262714,0.8559999999999999
Baseline_v3,MinMax,0.7303768305720515,0.8357884256096716,0.09566315181899306,0.9199999999999999
